n_hidden,n_neurons,lr,epoch,activation,val_acc,test_acc
1,32,0.01,20,sigmoid,10.50670337677002,10.5
1,32,0.01,20,relu,14.402261734008789,18.079999923706055
1,32,0.01,30,sigmoid,6.922436237335205,7.37000036239624
1,32,0.01,30,relu,14.216687202453613,17.860000610351562
1,32,0.001,20,sigmoid,11.578630447387695,11.710000038146973
1,32,0.001,20,relu,11.543618202209473,11.300000190734863
1,32,0.001,30,sigmoid,9.033613204956055,8.920000076293945
1,32,0.001,30,relu,8.92090129852295,9.359999656677246
1,64,0.01,20,sigmoid,11.23449420928955,11.350000381469727
1,64,0.01,20,relu,9.441776275634766,11.0600004196167
1,64,0.01,30,sigmoid,9.863947868347168,9.579999923706055
1,64,0.01,30,relu,15.225088119506836,19.040000915527344
1,64,0.001,20,sigmoid,11.23449420928955,11.359999656677246
1,64,0.001,20,relu,8.17426872253418,8.279999732971191
1,64,0.001,30,sigmoid,10.444178581237793,10.279999732971191
1,64,0.001,30,relu,11.297184944152832,11.75
2,32,0.01,20,sigmoid,8.999099731445312,8.760000228881836
2,32,0.01,20,relu,10.49119758605957,10.579999923706055
2,32,0.01,30,sigmoid,9.753902435302734,9.739999771118164
2,32,0.01,30,relu,8.638789176940918,10.380000114440918
2,32,0.001,20,sigmoid,10.205581665039062,10.019999504089355
2,32,0.001,20,relu,9.798919677734375,9.929999351501465
2,32,0.001,30,sigmoid,10.444178581237793,10.279999732971191
2,32,0.001,30,relu,10.045350074768066,10.729999542236328
2,64,0.01,20,sigmoid,10.444178581237793,10.279999732971191
2,64,0.01,20,relu,12.871647834777832,13.90999984741211
2,64,0.01,30,sigmoid,11.23449420928955,11.350000381469727
2,64,0.01,30,relu,16.935443878173828,19.32000160217285
2,64,0.001,20,sigmoid,11.217986106872559,11.0600004196167
2,64,0.001,20,relu,11.225991249084473,10.569999694824219
2,64,0.001,30,sigmoid,9.35540771484375,9.789999961853027
2,64,0.001,30,relu,11.328198432922363,10.34000015258789
